formula,predicted_Tc,efermi,band_gap,database_IDs
Ce2Mo2C3,9.554417610168457,8.22410377,0.0,icsd-417827
Ba4Li1Bi3O12,9.446467399597168,3.08621092,0.5661,pf-40083
Ba1Nd2Ni1O5,9.437173843383789,3.48386084,1.9985000000000004,icsd-72626
Li2Ge1F6,9.430130004882812,-2.39751646,5.5194,icsd-23406
Li2Sn1F6,9.385798454284668,-1.23399657,5.0089,pf-32758
Dy3In1C1,9.373473167419434,4.11101517,0.0,icsd-56400
Ce1Fe4B4,9.370720863342285,7.26623123,0.0,icsd-612769
Nd15Ge9C1,9.263761520385742,4.01763426,0.0,icsd-180937
Ca1C1O3,9.237733840942383,1.09729877,4.999499999999999,icsd-180349
Ba2Ca1V2Cu1F14,9.183967590332031,0.70344131,0.1441,icsd-419544
Li1B1C1,9.086726188659668,4.2961937,0.8471000000000002,icsd-425059
Ni3B2O6,9.058377265930176,4.84456151,0.0,icsd-2016
Ba1C1O3,8.967081069946289,0.68234594,4.397399999999999,icsd-91891
Ni2Ge1O4,8.924400329589844,4.01941694,2.1356,icsd-69508
Ba2Ca1Mn2Cu1F14,8.849698066711426,0.24948034,0.7884999999999999,pf-39241
Ca1V2O4,8.84605884552002,5.91063804,0.0,icsd-164187
Nd1Ni2B2C1,8.840560913085938,6.41707374,0.0,icsd-79569
Ba2Ni1Te1O6,8.834075927734375,4.84130839,0.0,icsd-25005
Li3B11O18,8.82476806640625,-0.35782223,5.5447,icsd-427426
Gd3Sn1C1,8.819951057434082,4.59242852,0.0,pf-10502
Sm2C3,8.818686485290527,4.94781057,0.0,icsd-109322
Pr11In9Ni4,8.791296005249023,5.54080106,0.0,icsd-167628
Nd12C6I17,8.779863357543945,3.82763694,0.0,icsd-417389
Cs1Zr6C1I14,8.741150856018066,3.94093123,0.0,icsd-60917
Dy3Sn1C1,8.741080284118652,4.84140759,0.0,icsd-56406
Ba1Pr2Ni1O5,8.686962127685547,3.38221086,2.1674,icsd-75035
Ni2Te3O8,8.674869537353516,5.25602856,0.5076,icsd-50703
Ca2B2O5,8.637364387512207,1.27678486,4.7075000000000005,icsd-190681
Tm2Mo2C3,8.622353553771973,5.6307779,0.0,pf-33853
Li4Np1O5,8.604612350463867,4.34861824,0.5886000000000005,icsd-74983
Li10Zn4O9,8.540980339050293,0.31932731,2.329,icsd-68494
Ba1Li2Ti6O14,8.53087329864502,4.35233346,2.8908,icsd-152568
Ti4Ni1Bi2,8.485058784484863,6.89115795,0.0,icsd-150148
Cs1Er10C4I18,8.378437995910645,3.60117355,0.2905000000000002,icsd-72762
V2Ge1C1,8.37791633605957,7.73994713,0.0,icsd-166031
Ca3Sn13Rh4,8.3412504196167,7.46628174,0.0,icsd-58932
Nd3In1C1,8.329561233520508,4.15417651,0.0,icsd-98502
Li1B1O2,8.314210891723633,2.03734182,7.281099999999999,icsd-34256
Ba5Er8Ni4O21,8.268582344055176,2.88152397,2.4221000000000004,pf-35258
Ca2Ge1Pd3,8.262308120727539,5.08179565,0.0,icsd-424597
Pu1Mo1C2,8.243788719177246,10.57747824,0.0,pf-24017
Zr1C1,8.22652816772461,5.77434079,0.0,icsd-619159
Cs1Li1Be1F4,8.2254638671875,-2.7856198,7.0366,icsd-9434
Bi2C1O5,8.223433494567871,4.24221591,2.2747,icsd-202767
Y2Ni1B10,8.177574157714844,6.37663633,0.0,pf-11225
Sm2Ge1B2O8,8.154090881347656,6.75737545,4.589,icsd-168969
Y1V1B4,8.147269248962402,6.22731711,0.0,icsd-615679
Cs1C1O1F3,8.13784408569336,-2.16234427,6.1248000000000005,icsd-69971
Cs1Y10C4I18,8.131036758422852,3.84006293,0.0,icsd-402129
Bi1B1O3,8.101875305175781,3.33581289,3.0096,icsd-413621
Cs1Li1Cr1O4,8.08720874786377,-1.11847499,2.7465,icsd-63416
Ca5V3O12F1,8.064852714538574,0.72606402,3.868500000000001,icsd-172997
Y16B4C8I19,8.003042221069336,3.12318291,0.2362000000000002,icsd-408701
Pr2C3,7.953055381774902,5.22490877,0.0,icsd-2444
B13C2,7.916509628295898,4.74924726,0.0,icsd-446
C1,7.865729331970215,2.43154306,0.1021,icsd-28417
Y1B2Ru1,7.852460861206055,6.19870173,0.0,icsd-615399
Cs1Zr6B1I14,7.845273971557617,3.38904542,0.7638000000000003,icsd-202102
Li6Y1B3O9,7.779970169067383,0.65583932,4.7398,icsd-184291
Ba2Li1I1O6,7.771939277648926,4.85607901,2.075600000000001,pf-8210
Ba2Ca1V2Fe1F14,7.768939971923828,2.08966885,1.0214,pf-18258
Eu2B2O5,7.75767707824707,4.8583227,0.0819,pf-5007
Li1Bi1F6,7.749722480773926,-2.72308001,2.5394,icsd-15119
Cs1Er6C1I12,7.745623588562012,3.79371137,0.2199999999999997,icsd-72761
Li1Tm6B3O14,7.740204811096191,6.6058326,4.8766,pf-12268
Ba2Ca1Mn1V2F14,7.727590560913086,2.04363329,1.2483,pf-7759
Ce7C3I10,7.716944694519043,6.22481244,0.0,icsd-416015
Y5C2I9,7.694304466247559,2.91451383,1.4454000000000002,icsd-402128
Er2B4C1,7.6917724609375,5.11131782,0.0,pf-16176
Ca1Te2O5,7.68440055847168,2.27425736,3.3756,icsd-419646
Ba1Ca1Cr1F7,7.633122444152832,-0.45769621,3.8013,icsd-47181
Zn1Bi2B2O7,7.611163139343262,3.12582373,2.5198,icsd-165521
Er1B2Ru1,7.572317123413086,6.06764232,0.0,icsd-613819
Li2Mn3Zn1O8,7.535322189331055,1.57007357,1.2898999999999998,icsd-26995
V3Ge1C1,7.494243621826172,7.37955839,0.0,icsd-617981
Li2V1F6,7.484988212585449,-1.20372569,2.1121,icsd-290252
Zr1B2,7.469313621520996,7.38649634,0.0,icsd-186559
Ca1Mn1F5,7.462655067443848,-1.00656522,0.995,icsd-69632
Ca1B6,7.446169853210449,4.7383542,0.0,icsd-612689
Nd2Ge1B2O8,7.439369201660156,2.49273116,4.5233,icsd-168970
Tm1B2C1,7.397374153137207,5.91758415,0.0,icsd-41763
Li2B1Pd3,7.373807907104492,3.51535824,0.0,icsd-246447
Cs2Zr7C1I18,7.359854698181152,3.88890435,0.1184000000000002,icsd-72606
Eu3B2O6,7.352697372436523,5.11797073,0.4588000000000001,icsd-86479
Y1B4Mo1,7.352333068847656,6.86930065,0.2774000000000001,icsd-20081
Li1Pr6B3O14,7.350480079650879,1.87512256,4.3181,pf-34503
