formula,predicted_Tc,efermi,band_gap
Na3Li1Ti2Si4H4O16,63.48517990112305,4.48490709,3.5603
Pd1C2S2O8F2,63.29069519042969,-1.85306156,2.2614
Li4Mn2P4H3O16,63.20283508300781,1.68478925,0.5505
K1Li7H16N8,62.95045852661133,0.27062212,2.6055
Ca2Nb2Si1S5O24,62.942955017089844,0.5834486,0.9383
K3Sc1Si2O7,62.93523025512695,1.53862449,3.6378
Li2Ca3Be3Si3O12F2,62.87133026123047,1.53060003,5.843100000000001
Li2Ca3Be3Si3O12F2,62.87133026123047,1.53060003,5.843100000000001
Na9U3Si4O20F2,62.77125549316406,3.72140362,0.0
Ti3Al1Se2Cl1O8,62.67739486694336,2.24581452,0.3957999999999999
V3Ni1H48S4O40,62.673126220703125,3.29781039,2.0718
Al1H6N2Cl3,62.65111541748047,-1.07255117,5.0498
Na3Tm1Si3O9,62.59117889404297,1.26041084,4.228
Ca5Ta1Ti3Al1Si5O25,62.57182693481445,2.73663012,2.8624
Ca5Ta1Ti3Al1Si5O25,62.57182693481445,2.73663012,2.8624
Na14Ca6Hf2Si5S7O48,62.43520736694336,2.06594706,2.944
Na1Ca1Be1Si2O6F1,62.35605239868164,1.54882908,5.510999999999999
Na3Al1P2H2O9,62.24201583862305,1.41451728,4.4885
Na2Ca1Si1O4,62.20686340332031,1.72463938,3.3315
Ca5Mn1Si9Pb9O33,62.1568717956543,3.28077709,2.8158
Li2Zn1Ge1O4,62.109596252441406,0.07629145,3.1053
Rb2Ca2Si3O9,62.08984375,0.76060159,4.133500000000001
Na1Ca2Si4O10F1,62.08621597290039,6.20937074,4.9558
K1Ca4Si8H16O28F1,61.82662582397461,0.37235548,4.8743
K3Er1Si2O7,61.708587646484375,1.01851697,3.737200000000001
Li1Cr1O2,61.60619354248047,2.86844198,3.1156
Mg3C1O4,61.60444259643555,4.74945126,1.3654000000000002
Na24Mg10Nb2Si9S9O72,61.55504608154297,2.93556867,1.1525000000000003
Li1H2N1,61.50185775756836,-0.74268953,3.1358
Ca10Ta1Ti8Al1Si10O50,61.451637268066406,5.44139503,2.7784
Ca10Ta1Ti8Al1Si10O50,61.451637268066406,5.44139503,2.7784
Na2Sc4In4Si1S11O48,61.391845703125,2.39715966,1.9709
Ag1C1O2,61.37202072143555,0.7476156,2.3498
K3Ho1Si2O7,61.335533142089844,1.02357122,3.722
Na8Al6Si6Br1Cl1O24,61.30715560913086,-0.17714206,4.7201
Na8Al6Si6Br1Cl1O24,61.30715560913086,-0.17714206,4.7201
K1Ca4B22H18Cl1O46,61.25959014892578,0.07435818,5.5101
Na2Li1H6N3,61.198307037353516,0.00637688,2.1905
Ca3Si1O4F1,61.16840362548828,6.73871472,0.0
Mg30V1C1O32,61.16700744628906,6.15546014,1.3328999999999995
U6H24C8S7N2O42,61.16400909423828,-0.28968978,0.1298
Mn4Si1Te1Cl2O7,61.16108322143555,2.85960517,2.4894000000000003
Li6Ca3Mn1C6O18F2,61.10272216796875,5.75732383,4.4177
Li6Ca3Mn1C6O18F2,61.10272216796875,5.75732383,4.4177
Na3Ti2Mn3Si4O16F2,61.04768371582031,2.99153839,0.0
Cd4Si4O9,61.037696838378906,2.84032316,0.0
Na3Si3Sn1O9F1,60.961429595947266,1.08876065,3.8392
Li1Ag1C2O4,60.90935134887695,0.12562575,2.689
Li1Ag1C2O4,60.90935134887695,0.12562575,2.689
Li2B1Se1O4,60.89754867553711,0.18601169,2.0982
Li2B1Se1O4,60.89754867553711,0.18601169,2.0982
Ni3Se4Cl2O10,60.893463134765625,1.675298,3.1114000000000006
Na3Mn1P1C1O7,60.79658126831055,2.52992476,2.0790999999999995
Ca13Si10O34F10,60.684234619140625,0.64004314,0.0581
Al6Cd4S1O12,60.63200759887695,0.53113891,2.7127
Cs2Na1Al1P2O8,60.47126388549805,0.53710471,4.457400000000001
Na3Mn1Si1B1O7,60.434593200683594,1.27148107,0.7340000000000002
Na3Mn1Si1B1O7,60.434593200683594,1.27148107,0.7340000000000002
Li1Sc1H2Se2O7,60.41099548339844,0.39438148,4.07
Rb2Si1S6O21,60.40779495239258,-0.96277794,5.0347
Cd1Ni1O2,60.36391067504883,3.1975459,0.0
Na3Ca1P1C1O7,60.35648727416992,0.99582656,4.1204
Na4Al3Si3Br1O12,60.35526657104492,-0.08317313,4.609800000000001
Na4Al3Si3Br1O12,60.35526657104492,-0.08317313,4.609800000000001
Tb2Si1Se1O4,60.30423355102539,5.01499605,2.5839
Hg2H10C3N1Cl5,60.26543426513672,-1.61804308,2.8393
Rb2Na2Al3Si3O12,60.21084213256836,5.82712294,0.0
Rb2Na2Al3Si3O12,60.21084213256836,5.82712294,0.0
Li2Ca1Si1O4,60.08608627319336,2.02386337,5.189699999999999
Li2Ca1Si1O4,60.08608627319336,2.02386337,5.189699999999999
Na2V1Si1W12O54,60.074806213378906,-1.49952754,0.0552000000000001
Na3Lu1Si2O7,60.04412841796875,1.03797042,3.946600000000001
Na3Mn1Si1C1O7,60.028018951416016,1.75963851,1.1273
Na3Mn1Si1C1O7,60.028018951416016,1.75963851,1.1273
Na5Li1P2O8,59.99533462524414,5.38595962,4.3383
K8Li3Cr4O16,59.98378372192383,1.24045361,0.0
Na3Li1P2O7,59.96550750732422,0.92332363,4.8511
Na3Mn1B1P1O7,59.92589569091797,1.4740677,1.2012000000000005
K2Mg1Si1O4,59.74882507324219,0.98293542,4.0026
Li1Al4Zn2O8,59.72529602050781,8.61455494,0.0
Li1Al4Zn2O8,59.72529602050781,8.61455494,0.0
Na3Sr1B5O10,59.719974517822266,0.349205,4.5614
Na1Al3P2H4O12,59.651973724365234,8.14247911,5.8653
Na6Ca4La4Si1S11O48,59.6247444152832,0.75210579,4.0491
Na3Co1B1S1O7,59.556915283203125,1.99811266,2.0964
K3Dy1Si2O7,59.523075103759766,1.02977437,3.7064
Na3Ni1B1S1O7,59.507808685302734,2.24578806,2.6897999999999995
Na3Ni1B1S1O7,59.507808685302734,2.24578806,2.6897999999999995
K1Ca1C1O3F1,59.48347473144531,0.47038234,4.3552
Li1Mg1S1O4F1,59.414947509765625,6.61136415,5.9657
Na3Mn1As1C1O7,59.38942337036133,1.7084417,2.1050000000000004
Na6Mn1Ni3Sb2O12,59.367984771728516,4.48887092,1.4660000000000002
Hg1H12C2I4N6,59.3428955078125,1.75441362,2.2238
Li2Zn1Si1O4,59.34043502807617,0.84741641,3.633
Li2Zn1Si1O4,59.34043502807617,0.84741641,3.633
Na1Lu1P2H2C1O7,59.3328857421875,0.01032513,0.1746
U1C2S1N4O8,59.295101165771484,-1.50593078,0.0
Rb1Mg14C1O16,59.271636962890625,6.93554541,0.0
Ni1H4I2O8,59.257301330566406,0.99838135,2.5950999999999995
Na2H14C1O10,59.133338928222656,-1.10247773,4.197
V1H21C7N4Cl7,59.0469970703125,1.39242856,3.9156
Ca1Si1Sn3S5O24,58.96875,1.5179859,0.7087000000000001
Na3Tm1Si2O7,58.90673828125,1.03138424,3.961
Na3Mn1B1As1O7,58.89283752441406,1.10343035,1.4399
Na8Al6Si6I1Cl1O24,58.884925842285156,0.33244721,4.2988
Na8Al6Si6I1Cl1O24,58.884925842285156,0.33244721,4.2988
Cs2Li1Mn1O4,58.855194091796875,1.01353152,1.5915
Li3P2W1O8,58.84519958496094,2.94034803,4.1832
Na8Mg3Si3Ge1S3O24,58.70347213745117,3.03572628,1.4009999999999998
Li4Sn2P4H3O16,58.68599319458008,3.06706049,0.0
Li2Ca2Si2O7,58.50933074951172,1.39733292,4.7378
Li2Ca2Si2O7,58.50933074951172,1.39733292,4.7378
Tl2Ni1P4H8O16,58.41146469116211,5.04199283,4.8709
Na1Ca9Ta1Ti9Si10O50,58.337154388427734,2.44190575,2.9149
K3Gd1Si2O7,58.248783111572266,0.9081711,3.1454
Na12Ca4Ta2Si6S3O36,58.234291076660156,1.92924565,2.6172
Na3Sr1P1C1O7,58.15270233154297,0.79903253,4.052899999999999
Tl1H1C2O4,58.120033264160156,0.57641589,2.8406
Li4Ni1P2O8,58.0521240234375,0.735451,3.5314
Li4Ni1P2O8,58.0521240234375,0.735451,3.5314
Rb2Li1As1O4,58.00531768798828,-0.19701302,3.5526
Na3Mn1B2O6,57.904579162597656,1.53186493,1.2168
Na2Sn1C4O8,57.900936126708984,1.09987778,2.7678
Cs1Li1H4N2,57.82830810546875,0.55871336,1.997
Ca2Ta2Si1S5O24,57.82624435424805,0.91061514,1.4457
Mn4Si1Te1Br2O7,57.81728744506836,2.63319749,2.6949
Li6Mn2C4S1O16,57.816104888916016,1.24619695,3.7759
Li6Mn2C4S1O16,57.816104888916016,1.24619695,3.7759
H6Au1C3O2,57.777984619140625,1.14676767,3.483
H5C1S1N2Cl1,57.75519561767578,-1.26863969,4.3408
Rb1Be4B3O9,57.748016357421875,0.2634471,5.1736
Na2In8Si1S11O48,57.73991775512695,2.40937355,1.2404000000000002
Na1Ca2Al2As2O11F4,57.7244873046875,0.77726196,0.0
Na6Ca6Si1Sn2S11O48,57.6773567199707,1.45991528,0.9956000000000004
Sr2Li1Ti6N2O11,57.66700744628906,5.11152815,0.0
Na42Ca16Ta8Si21S15O144,57.607364654541016,2.1720581,1.6985
K1Zn2Cd1B2O6F1,57.4478874206543,0.13789096,2.7164
Na1Mn1H2C3O7,57.40883255004883,2.62317866,2.5658
Na3Ge1P1C1O7,57.28519821166992,1.25980941,4.187900000000001
Na4Ni1P2O7F2,57.26050567626953,0.77817088,4.258
Li3Zn2Sb1O6,57.25925064086914,2.75840802,2.4602
Na3Al1As2O8,57.24517059326172,0.56157835,3.3791
H6Pb1C1N1Cl3,57.19138717651367,0.14787898,2.7966
Ca15Ni1Ir4O24,57.04701614379883,4.44826155,0.0
Li3Tl1P1C1O7,57.04557800292969,2.24589955,0.0
Li3Tl1P1C1O7,57.04557800292969,2.24589955,0.0
Tm1H3C3O6,56.96601867675781,0.98246968,3.9281
Ca10Ti8Nb1Al1Si10O50,56.95827865600586,2.69972801,2.8619
Ca10Ti8Nb1Al1Si10O50,56.95827865600586,2.69972801,2.8619
Al3P2H6O11,56.89447784423828,0.91794497,0.9378
Na1Ca5Sc1Zn5Si12O36,56.88165283203125,2.75624429,4.1363
K3Tb1Si2O7,56.70608139038086,0.9657196,3.688
Ag3C1S1N3O6,56.70152282714844,0.70655998,2.103
Na3Mg1P1C1O7,56.666419982910156,1.30329288,4.2436
P1H8C2S1N1O2,56.554466247558594,-1.1449439,4.4704
Na24Nb2Zn10Si9S9O72,56.55159378051758,2.31457053,1.4019
H6C1S1N3O3,56.549835205078125,3.23750526,4.956
Na6Ni2C4S1O16,56.546295166015625,1.39150484,3.247
Na6Ni2C4S1O16,56.546295166015625,1.39150484,3.247
Na2Be1Si2O6,56.50531768798828,1.15594371,4.7889
Na14Ca6Si5Ge2S7O48,56.48645782470703,1.36808213,0.0203999999999999
Na42Ca20Ta4Si15S21O144,56.48554992675781,2.08885034,2.1238
Na2Sc8Si1S11O48,56.26046371459961,0.88039771,3.138
Na7Ca3Ta1Si3S3O24,56.259178161621094,2.0975944,1.4403
H6C1S1N4,56.256080627441406,0.41121698,3.4076
Be3Cd4Si3S1O12,56.23280715942383,3.19589067,0.9984000000000002
Ag3C2N2O6,56.17106246948242,-0.4793475,0.0
Na2Li4Mn2C4S1O16,56.13518524169922,1.40187316,3.8861
Na2Li4Mn2C4S1O16,56.13518524169922,1.40187316,3.8861
