formula,predicted_Tc,efermi,band_gap,database_IDs
Tm1Cr1B4,1.695080280303955,6.46897816,0.1963999999999996,icsd-613561
Ce1B1O3,1.658536434173584,7.33696603,0.0586999999999999,icsd-99689
Eu1B4O7,1.6512274742126465,7.42890695,1.912399999999999,icsd-30507
Tb1B4Mo1,1.6459460258483887,6.48340652,0.5646000000000004,icsd-614843
Sm1Cr1B4,1.6201872825622559,6.02069513,0.3606999999999996,icsd-613554
Ca1Cr1O4,1.5680794715881348,-0.07153711,2.3714,icsd-30283
Cs2Ni1O2,1.4864144325256348,0.95445764,2.6343,icsd-423923
Er1Cr1B4,1.4804949760437012,6.50491949,0.1610999999999993,icsd-613495
Tb1Ni1Bi1,1.430959701538086,6.06942499,0.2301000000000002,pf-35808
In7Ni3,1.4069304466247559,7.97055855,0.8483999999999998,pf-25262
Li3Gd3Te2O12,1.4010233879089355,2.97445161,2.8187,pf-25760
Gd1Cr1B4,1.297976016998291,6.11881946,0.2551000000000005,icsd-613512
Tb1Cr1B4,1.256429672241211,6.19705232,0.3781000000000007,icsd-613559
Li1Tb2Ru1O6,1.2009186744689941,3.71929728,0.3348,pf-32369
Li1In1Te2,1.1911377906799316,2.66456219,1.3847,icsd-639906
Pr7C3I10,1.1886787414550781,4.4043765,0.0121999999999999,icsd-409907
Li1Ge1Te2,1.179487705230713,3.56909044,0.4371,icsd-35676
Ni3Te2Mo1O10,1.1643939018249512,2.44461198,2.9872,icsd-249958
Ba7Ca2Mn5O20,1.1125807762145996,2.372734,0.7955000000000001,icsd-59699
Ce1C1O3F1,1.1051983833312988,6.26977621,0.0798999999999994,icsd-74015
Mn1Ni6O8,1.0232744216918945,4.80416538,1.4245,icsd-40584
Dy1Ni1Bi1,0.9651308059692383,6.06016806,0.2084000000000001,icsd-58779
Ni1O1,0.9639291763305664,5.87177732,2.3008999999999995,icsd-9866
Tm1Ni1Bi1,0.7734031677246094,6.11758858,0.1490999999999998,icsd-58825
Th1Ni1Sn1,0.771141529083252,7.38321914,0.2675,icsd-646770
Ti1Ni1Sn1,0.6888823509216309,7.66299415,0.4527000000000001,icsd-190991
Pr1Ni1Bi1,0.6699333190917969,5.78049177,0.3337999999999992,pf-37184
Nd1Ni1Bi1,0.5645089149475098,5.95675443,0.5118999999999998,pf-14769
Y1Ni1Bi1,0.5261001586914062,6.10725711,0.2016,icsd-58826
Er1Ni1Bi1,0.5173215866088867,6.05514116,0.1699999999999999,pf-14835
Ce1Ni1Ge1,0.43496036529541016,7.504866,0.0567999999999999,icsd-99672
Ca1Ti1O3,0.37000465393066406,3.09815529,2.3053,icsd-167888
